published_date,count
2025-06-23,0
2025-06-24,1
2025-06-25,1
2025-06-26,2
2025-06-27,1
2025-06-28,0
2025-06-29,0
2025-06-30,0
2025-07-01,6
2025-07-02,0
2025-07-03,0
2025-07-04,0
2025-07-05,0
2025-07-06,0
2025-07-07,1
2025-07-08,1
2025-07-09,0
2025-07-10,1
2025-07-11,0
2025-07-12,0
2025-07-13,0
2025-07-14,0
2025-07-15,3
2025-07-16,1
2025-07-17,1
2025-07-18,0
2025-07-19,0
2025-07-20,0
2025-07-25,1
2025-07-26,0
2025-07-27,0
2025-07-28,0
2025-07-29,0
2025-07-30,0
2025-07-31,0
2025-08-01,1
2025-08-02,0
2025-08-03,0
2025-08-04,1
2025-08-05,2
2025-08-06,0
2025-08-07,0
2025-08-08,1
2025-08-09,0
2025-08-10,0
2025-08-11,1
2025-08-12,0
2025-08-13,0
2025-08-14,1
2025-08-15,0
2025-08-16,0
2025-08-17,0
2025-08-18,1
2025-08-19,0
2025-08-20,1
2025-08-21,1
2025-08-22,2
2025-08-23,0
2025-08-24,1
2025-08-25,1
2025-08-26,5
2025-08-27,4
2025-08-28,5
2025-08-29,5
2025-08-30,0
2025-08-31,0
2025-09-01,0
2025-09-02,1
2025-09-03,1
2025-09-04,1
2025-09-05,0
2025-09-06,0
2025-09-07,0
2025-09-08,1
2025-09-09,0
2025-09-10,0
2025-09-11,0
2025-09-12,0
2025-09-13,1
2025-09-14,0
2025-09-15,1
2025-09-16,0
2025-09-17,1
2025-09-18,1
2025-09-19,1
2025-09-20,0
2025-09-21,1
2025-09-22,0
2025-09-23,0
2025-09-24,2
2025-09-25,9
2025-09-26,9
2025-09-27,0
2025-09-28,0
2025-09-29,1
2025-09-30,2
2025-10-01,0
2025-10-02,0
2025-10-03,0
2025-10-04,0
2025-10-05,0
2025-10-06,0
2025-10-07,0
2025-10-08,1
2025-10-09,1
2025-10-10,0
2025-10-11,0
2025-10-12,0
2025-10-13,0
2025-10-14,1
2025-10-15,0
2025-10-16,1
2025-10-17,1
2025-10-18,0
2025-10-19,0
2025-10-20,0
2025-10-21,1
2025-10-22,0
2025-10-23,0
2025-10-24,1
2025-10-25,0
2025-10-26,0
2025-10-27,4
2025-10-28,5
2025-10-29,6
2025-10-30,3
2025-10-31,2
2025-11-01,0
2025-11-02,0
2025-11-03,1
2025-11-04,1
2025-11-05,1
2025-11-06,2
2025-11-07,1
2025-11-08,0
2025-11-09,0
